Stocks,Final Value,Maximum Drawdown,Volatility,Sharpe Ratio,Sortino Ratio
"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'V', 'KO']",39470.677820635334,-0.33051085911107525,0.26416932484025296,1.0464830952075812,1.9900022775805188
"['AAPL', 'MSFT', 'GOOGL', 'AMZN', 'NVDA', 'PG', 'KO']",36621.338230710295,-0.3342554741135216,0.24512979077823904,1.0452816093114916,1.8384611574548073
"['MSFT', 'GOOGL', 'AMZN', 'NVDA', 'V', 'PG']",39515.74601696125,-0.3775842777699305,0.2651114033308564,1.0448330347763706,1.8031306572415082
"['MSFT', 'GOOGL', 'AMZN', 'NVDA', 'V']",44577.21252698135,-0.4100519070023612,0.2979954876924196,1.0441640749700312,1.7371918540843347
"['GOOGL', 'TSLA', 'NVDA', 'JPM', 'PG']",51380.262879673115,-0.47307081026501,0.3370007157655325,1.0435912566717365,2.08993561530089
"['AAPL', 'GOOGL', 'AMZN', 'NVDA', 'V', 'PG']",39416.08375132533,-0.356784932435182,0.26509905891695673,1.0431580418809452,1.855089136848103
"['AAPL', 'GOOGL', 'AMZN', 'NVDA', 'V']",44457.61780821824,-0.38276643365113605,0.29774664777368376,1.0430099509184843,1.7617630485917861
"['AAPL', 'MSFT', 'GOOGL', 'AMZN', 'NVDA']",45200.796112448574,-0.40934055089288607,0.303517687901383,1.0399885710906038,1.7887534226049238
"['TSLA', 'NVDA', 'JPM', 'V', 'PG', 'KO']",44620.233459989126,-0.38894757028326715,0.29852317825389924,1.0398738837222823,2.2293463065456276
"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'V', 'PG', 'KO']",35861.78291295327,-0.3185689243768499,0.2413452578742953,1.0396272615542255,1.9492981140064014
"['MSFT', 'TSLA', 'NVDA', 'JPM', 'KO']",51445.77576284512,-0.4498374575951681,0.33858313619591107,1.0396208114455157,2.2449345581001863
"['MSFT', 'TSLA', 'NVDA', 'JPM', 'PG', 'KO']",45239.54871351441,-0.4081187180800661,0.302855209203882,1.0385479352219815,2.2249783043541607
"['TSLA', 'NVDA', 'JPM', 'V', 'KO']",50702.597458614786,-0.43088367015204365,0.3349334238843759,1.0383373469929356,2.2210650914221053
"['AAPL', 'MSFT', 'GOOGL', 'AMZN', 'NVDA', 'PG']",40035.39900485062,-0.3694924656239628,0.27115380441259473,1.037465681436536,1.7432533428437174
"['AAPL', 'MSFT', 'GOOGL', 'AMZN', 'NVDA', 'V', 'KO']",37292.29484896427,-0.3320206419138612,0.2527872402256642,1.0361042617082594,1.847392010604844
"['GOOGL', 'TSLA', 'NVDA', 'JPM', 'V', 'PG', 'KO']",41706.19968269609,-0.38758937738346483,0.28212203868370306,1.0354497361647268,2.0391310138194343
"['GOOGL', 'TSLA', 'NVDA', 'JPM', 'V', 'KO']",46289.164052001965,-0.4236678061972487,0.3112860280940126,1.0343527324471207,2.0317394149986856
